;ID;Latitude;Longitude;Area_Sum;Depth_Mean;Depth_Median;Depth_Max;Chl_Mean;Chl_Median;Margin_Sum;Margin_Mean;Margin_Median;Shelf_Sum;Shelf_Mean;Shelf_Median;CurVel_Mean;CurVel_Median;CurVel_Bot_Mean;CurVel_Bot_Median;Diff_Atte_Mean;Diff_Atte_Median;HumImp_Sum;HumImp_Mean;HumImp_Median;Ice_Cover_Sum;IceCov_Mean;Ice_Cover_Median;Ice_Tick_Mean;Ice_Tick_Median;MixLay_Mean;MixLay_Median;Nitrate_Mean;Nitrate_Median;Nitrate_Bot_Mean;Nitrate_Bot_Median;O2_Mean;O2_Median;O2_Bot_Mean;O2_Bot_Median;PhotoActi_Mean;PhotoActi_Median;PrimProd_Bot_Mean;PrimProd_Bot_Median;PrimProd_Mean;PrimProd_median;Salinity_Bot_mean;Salinity_Bot_median;Salinity_mean;Salinity_median;Silicate_mean;Silicate_median;ThemM_mean;ThemM_median;ThemM_Bot_mean;ThemM_Bot_median;Them_Max_mean;Them_Max_median;Them_Max_max;Them_Min_mean;Them_Min_median;Them_Min_min;ThemR_mean;ThemR_median;ThemR_range;ThemR_Bot_mean;ThemR_Bot_median;ThemR_Bot_range;NumRec_sha;NumSpe_sha;ES50_sha;Chao1_sha;ACE_sha;Weighted_sha;NumRec_mes;NumSpe_mes;ES50_mes;Chao1_mes;ACE_mes;Weighted_mes;NumRec_dee;NumSpe_dee;ES50_dee;Chao1_dee;ACE_dee;Weighted_dee
323;322;-12.05082933;-172.4255452;661589.398;-4182.987709;-4450.5;286;0.074748683;0.069458378;-3251737;-412.0295236;0;-5047;-0.23007841;0;0.061463899;0.055673525;0.025442708;0.015882509;0.046382124;0.045621086;420;6.086956522;10;0;0;0;0;0;29.62724694;29.50789597;0.04202349;0.001017973;33.69441879;33.07839075;198.0523208;197.7626142;196.4484772;207.3546225;44.67643533;44.65447031;0.014480771;0.013548175;1.048523019;1.02138594;34.69963318;34.71012497;35.06006006;35.07247764;1.411514467;1.405566054;29.09932253;29.18908629;1.018692328;0.764130258;30.28777529;30.32202074;30.63323538;27.69046894;27.77271688;26.09131731;2.597306348;2.605635505;2.037107057;0.145078967;0.122463945;4.528955106;264798;1844;44.63809987;2296.492537;2302.993311;101.0087131;1550;169;32.3554474;226.4166667;218.9443349;38.68386307;3715;258;27.0366759;361.0188679;407.1549582;23.75781744
66;194;12.05082933;7.574454825;661590.7961;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;14220019;17.96602505;18;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
132;130;13.73186315;72.82705467;661701.7244;-2079.551466;-2010.5;95;0.149074106;0.11217846;-7036390;-1199.112134;-1426;-159443;-9.790187891;0;0.044330797;0.037409946;0.014726661;0.009218121;0.084587311;0.077754979;4715058;22.12395833;22;0;0;0;0;0;19.68313719;19.95629214;0.102211038;0.090156537;32.02875734;37.53042756;200.3718385;200.1519153;106.6527949;115.5327229;46.07484898;46.03475485;0.229624752;0.013548172;1.540015099;1.396749104;34.96972574;34.83786403;35.53433566;35.59646074;1.62396364;1.593094081;28.71186467;28.74422242;6.857054486;3.107767941;30.62835479;30.5931893;32.18005473;27.0902212;27.16934868;23.83250923;3.538133591;3.418843695;4.369058832;2.439478451;1.248619106;13.57965476;22293;1249;37.8141547;2055.679612;2169.859194;48.69981371;2273;419;37.90660686;543.6391753;567.7180018;61.39009494;1461;510;44.32365116;977.5955056;1073.957975;162.9778575
371;578;-13.73186315;-107.1729453;661703.4306;-3663.485883;-3653;-858;0.137336696;0.139943033;-7903031;-991.721797;0;0;0;0;0.115864603;0.118464944;0.008856556;0.00776286;0.059337492;0.060117447;0;NA;NA;0;0;0;0;0;38.29920023;37.23187052;1.275729254;1.175042385;37.49638357;37.50486995;214.8335883;214.6548592;147.9856423;149.6359267;48.46557286;48.39064748;0.013548172;0.013548172;1.405742741;1.450754432;34.67849501;34.67833285;35.82847409;35.83439859;0.974882867;0.925850077;24.40853141;24.41813446;1.468442258;1.467518446;26.23309689;26.15661182;27.34929598;22.58497676;22.63684638;21.43134712;3.64812013;3.657593476;2.131804242;0.078179611;0.077112129;0.895321617;213;25;11.60256835;25.58823529;27.60869565;1.719890822;5;4;NA;NA;NA;NA;32;25;NA;NA;NA;NA
19;66;-28.97011135;121.4383909;663281.1219;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3448817;3.898131194;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
514;514;28.97011134;-58.56160914;663281.7725;-5584.255088;-5598;-2672;0.118997814;0.089886375;-15137;-1.711555857;0;0;0;0;0.01770682;0.017863473;0.013776171;0.010813779;0.047985119;0.046852473;0;NA;NA;0;0;0;0;0;36.6718675;35.46895408;0.057269626;0.010079014;22.07551656;22.5931443;213.513439;213.5889696;259.7798297;257.910801;41.33000552;41.35130391;0.013548172;0.013548172;1.224494186;1.152873463;34.87953197;34.87826829;36.78700798;36.78779491;1.396493634;1.374568645;24.64385362;24.69802219;1.651213128;1.637094893;28.78008734;28.7460822;29.26936202;20.45646441;20.43166676;18.15179446;8.323622926;8.316688477;4.88453902;0.112732733;0.105130346;0.440244412;2060;205;35.55969537;258.2;256.2820487;31.57299525;1326;388;44.61891423;453.024;516.8659641;172.6847378;1175;352;41.69403157;653.8421053;688.2357454;98.63720797
388;386;32.04786695;139.8568984;663695.0962;-3731.141201;-3941;641;0.368146997;0.326838658;-6864059;-803.6598759;0;-33907;-1.427603048;0;0.209466011;0.10498861;0.034439542;0.020220659;0.071721426;0.066083154;2302991;34.37864426;32;0;0;0;0;0;52.2136543;55.22830495;0.546250098;0.500112285;36.54943161;37.28749852;218.5851574;218.4172206;141.3543232;153.2023431;34.60996062;34.30671271;0.06229395;0.013548172;1.816410203;1.650074587;34.62103912;34.67657013;34.51118057;34.57850266;1.96436661;1.872588872;23.01927904;23.29514887;1.967654334;1.172936887;29.13210708;29.27743851;30.49585138;17.18759748;17.51468458;6.851914923;11.9445096;11.78246343;10.77385147;0.681197363;0.095282125;20.10881719;268077;2850;23.79057968;4269.5054;4407.69719;6.22569626;3143;877;44.42178989;1500.218182;1646.302759;139.9868069;12039;1307;37.3690923;2155.150685;2208.60773;59.78133738
259;258;-32.04786693;-40.14310161;663698.0395;-4060.31313;-4218;-552;0.170189025;0.153909257;-3426956;-375.5979833;0;0;0;0;0.028709932;0.027229736;0.022096582;0.018568274;0.062916105;0.06213899;0;NA;NA;0;0;0;0;0;43.82101456;42.05618211;0.526403917;0.339139781;30.58844918;32.10575691;229.0695813;229.3797726;225.7814895;219.3293456;36.36928817;36.35645835;0.013549452;0.013548355;1.244312541;1.203107047;34.749459;34.74118441;35.96871018;35.94406831;1.327410228;1.285364774;20.47421197;20.39323783;0.857441464;0.768781967;24.54715688;24.52285125;27.274013;16.92305407;16.84271576;13.31521377;7.624102806;7.594437689;3.000890049;0.888770068;0.939004484;4.000579091;317;133;43.05972094;186.2;176.7648316;66.06771861;391;122;37.6721262;203.0588235;182.4370716;61.9704094;115;94;45.75302242;272.125;280.5062459;81.13496933
1;1;-43.09944153;41.95707537;665320.9491;-2756.523688;-2748;233;0.314123444;0.309180047;-21759434;-2053.551718;-2380;-2554;-0.086717371;0;0.165086416;0.153943575;0.019383305;0.01414816;0.07669273;0.076031102;0;NA;NA;0;0;0;0;0;48.30482025;48.99151299;13.5712141;15.76111613;30.16819384;30.06054007;284.9898056;293.4171533;207.252933;206.5446724;28.15905358;28.70924837;0.015240666;0.013563303;1.609198201;1.622300868;34.74851785;34.75777067;34.27082949;33.96467771;11.4108971;12.62839089;10.36041297;9.215499294;1.785798545;1.839119928;14.68066079;14.04864527;22.62948493;6.724565944;5.781216776;3.226173136;7.95609485;7.8065057;9.668530456;0.582274077;0.512915627;7.617789074;2271;231;30.66498721;297.5;302.5329744;24.53575863;237;149;43.61605629;381.8695652;395.1336788;94.40168067;347;189;43.18388081;337.9772727;363.0549587;99.59387924
641;642;43.09944151;-138.0429246;665325.3309;-4245.531616;-4232;-1652;0.228187982;0.220939445;-448835;-42.35890902;0;0;0;0;0.046070283;0.046687138;0.003336693;0.002463386;0.075605386;0.075992263;0;NA;NA;0;0;0;0;0;35.73581526;35.80420629;5.175075262;4.937397629;38.39803326;38.63233158;270.8838465;270.6940451;133.3288283;132.1370392;27.69508886;27.56609689;0.013548172;0.013548172;1.514091126;1.501724307;34.67760956;34.67796462;32.66263222;32.63322594;7.277433934;6.86910805;13.22874138;13.19643925;1.14319544;1.133863323;19.15935841;19.13888233;22.22725242;8.776761933;8.786328769;6.279240484;10.38259647;10.3423069;3.246696553;0.032359945;0.032138235;0.440782839;678;162;36.46251607;210.4871795;226.314545;26.53145562;7;6;NA;NA;NA;NA;150;72;34.38925703;150.8333333;154.6121594;34.09090909
